device,processor,ram,storage,battery,price,antutu_score,category,value_score,rating,height,website_url,image_url,upvotes,reviews,camera
realme 15 5G,Mediatek Dimensity 7300+ 5G,8,256,7000,27999,840000,Multitasking,30.00107147,4.4,17.27 cm (6.8 inch) Display,https://www.flipkart.com/realme-15-5g-velvet-green-256-gb/p/itme9581fbd0e97a?pid=MOBHDUKFHZJFVZXG&lid=LSTMOBHDUKFHZJFVZXGABNNHR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_242&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHDUKFHZJFVZXG.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/h/h/-original-imahekyxuzz6eaqx.jpeg?q=70,"8,631 Ratings",713 Reviews,50MP + 8MP | 50MP Front Camera
realme 15 5G,Mediatek Dimensity 7300+ 5G,8,128,7000,25999,830000,Multitasking,31.92430478,4.4,17.27 cm (6.8 inch) Display,https://www.flipkart.com/realme-15-5g-flowing-silver-128-gb/p/itme9581fbd0e97a?pid=MOBHDUKFNGK33R2M&lid=LSTMOBHDUKFNGK33R2M8YALEU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_243&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHDUKFNGK33R2M.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/g/k/-original-imahekyxwdxefxae.jpeg?q=70,"8,631 Ratings",713 Reviews,50MP + 8MP | 50MP Front Camera
realme 15 5G,Mediatek Dimensity 7300+ 5G,8,256,7000,27999,840000,Multitasking,30.00107147,4.4,17.27 cm (6.8 inch) Display,https://www.flipkart.com/realme-15-5g-flowing-silver-256-gb/p/itme9581fbd0e97a?pid=MOBHDUKFVXWQKMPS&lid=LSTMOBHDUKFVXWQKMPS2WNAQE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_244&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHDUKFVXWQKMPS.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/g/k/-original-imahekyxwdxefxae.jpeg?q=70,"8,631 Ratings",713 Reviews,50MP + 8MP | 50MP Front Camera
realme 15 5G,Mediatek Dimensity 7300+ 5G,8,256,7000,27999,840000,Multitasking,30.00107147,4.4,17.27 cm (6.8 inch) Display,https://www.flipkart.com/realme-15-5g-silk-pink-256-gb/p/itme9581fbd0e97a?pid=MOBHDUKFZF7UPZZZ&lid=LSTMOBHDUKFZF7UPZZZJPBCBN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_245&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHDUKFZF7UPZZZ.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/m/o/-original-imahekyxgkvxb7a3.jpeg?q=70,"8,631 Ratings",713 Reviews,50MP + 8MP | 50MP Front Camera
OPPO F31 5G,Dimensity 6300,8,256,7000,25990,630000,Multitasking,24.24009234,4.3,16.69 cm (6.57 inch) Full HD+ Display,https://www.flipkart.com/oppo-f31-5g-cloud-green-256-gb/p/itme4999ba8be7f5?pid=MOBHFKPTCYHBTCSD&lid=LSTMOBHFKPTCYHBTCSDKWBAOH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_246&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHFKPTCYHBTCSD.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/d/j/-original-imahgxe6dzdsgvcr.jpeg?q=70,976 Ratings,54 Reviews,50MP + 2MP | 16MP Front Camera
OPPO F31 Pro+ 5G,7 Gen 3 Mobile Platform,12,256,7000,34999,960000,Performance,27.42935512,4.3,17.27 cm (6.8 inch) Full HD+ Display,https://www.flipkart.com/oppo-f31-pro-5g-festival-pink-256-gb/p/itm6d64a8ecb31b8?pid=MOBHFKPUEERSZXHD&lid=LSTMOBHFKPUEERSZXHDQLYOMC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_247&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHFKPUEERSZXHD.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/u/x/-original-imahgxe6uubqvzkb.jpeg?q=70,191 Ratings,8 Reviews,50MP + 2MP | 32MP Front Camera
realme 15 5G,Mediatek Dimensity 7300+ 5G,8,128,7000,25999,830000,Multitasking,31.92430478,4.4,17.27 cm (6.8 inch) Display,https://www.flipkart.com/realme-15-5g-velvet-green-128-gb/p/itme9581fbd0e97a?pid=MOBHDUKFAKEGZWJK&lid=LSTMOBHDUKFAKEGZWJK8YCS5S&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_248&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHDUKFAKEGZWJK.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/h/h/-original-imahekyxuzz6eaqx.jpeg?q=70,"8,631 Ratings",713 Reviews,50MP + 8MP | 50MP Front Camera
vivo T4 Ultra 5G,Dimensity 9300+,12,256,5500,37999,1210000,Gaming,31.84294324,4.5,16.94 cm (6.67 inch) Full HD+ AMOLED Display,https://www.flipkart.com/vivo-t4-ultra-5g-phoenix-gold-256-gb/p/itm9cfd8118c9ce0?pid=MOBHCKSPGZFBGZB2&lid=LSTMOBHCKSPGZFBGZB26S9IA6&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_249&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHCKSPGZFBGZB2.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/v/h/-original-imahd57g62dfepkh.jpeg?q=70,"2,927 Ratings",282 Reviews,50MP + 8MP + 50MP Periscope | 32MP Front Camera
realme 14 Pro+ 5G,7s Gen 3 Mobile Platform Processor,8,128,6000,29999,920000,Multitasking,30.66768892,4.4,17.35 cm (6.83 inch) Display,https://www.flipkart.com/realme-14-pro-5g-bikaner-purple-128-gb/p/itmb5105a70ea6a6?pid=MOBH84ZXAZYM8ZZP&lid=LSTMOBH84ZXAZYM8ZZPSUZRN3&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_250&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBH84ZXAZYM8ZZP.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/x/y/-original-imahewbat2sqt5tv.jpeg?q=70,"15,619 Ratings","1,870 Reviews",50MP + 50MP + 8MP | 32MP Front Camera
Samsung M36 5G,1 Year Warranty,8,128,5000,16969,520000,Value for Money,30.64411574,4,17.02 cm (6.7 inch) Display,https://www.flipkart.com/samsung-m36-5g-velvet-black-black-128-gb/p/itm74130a5a313b6?pid=MOBHEYY2PZTXHNZQ&lid=LSTMOBHEYY2PZTXHNZQNNYOSN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_251&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHEYY2PZTXHNZQ.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/l/2/m36-5g-sm-m366b-samsung-original-imaheyy2geey2sjf.jpeg?q=70,225 Ratings,9 Reviews,50MP Rear Camera
realme P3 Ultra 5G,Dimensity 8350 Ultra,8,256,6000,22999,930000,Value for Money,40.43654072,4.4,17.35 cm (6.83 inch) Display,https://www.flipkart.com/realme-p3-ultra-5g-orion-red-256-gb/p/itm50171223b4a05?pid=MOBHAYKEEZW7DS2N&lid=LSTMOBHAYKEEZW7DS2NPIW53Y&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_252&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHAYKEEZW7DS2N.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/3/1/-original-imahadrutq6xcsz3.jpeg?q=70,"16,814 Ratings","1,664 Reviews",50MP + 8MP | 16MP Front Camera
realme P4 Pro 5G,7 Gen 4 Mobile,8,128,7000,22999,920000,Value for Money,40.00173921,4.4,17.27 cm (6.8 inch) Display,https://www.flipkart.com/realme-p4-pro-5g-midnight-ivy-128-gb/p/itme41a54752cc21?pid=MOBHERXKXPYUPFQG&lid=LSTMOBHERXKXPYUPFQGNBXMDH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_253&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHERXKXPYUPFQG.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/f/0/-original-imahfghxnhsjpk3a.jpeg?q=70,"14,322 Ratings","1,183 Reviews",50MP + 8MP | 50MP Front Camera
Google Pixel 8a,Tensor G3 Processor,8,128,4404,34999,520000,Value for Money,14.85756736,4.3,15.49 cm (6.1 inch) Full HD+ Display,https://www.flipkart.com/google-pixel-8a-bay-128-gb/p/itm6d2e15988f2c4?pid=MOBGYQ2MQYHU59Y2&lid=LSTMOBGYQ2MQYHU59Y2IR0ZZ0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_254&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBGYQ2MQYHU59Y2.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/h/n/pixel-8a-ga05570-in-google-original-imahyn3ncc6gcfnc.jpeg?q=70,"10,828 Ratings",834 Reviews,64MP + 13MP | 13MP Front Camera
realme 15 Pro 5G,7 Gen 4,8,128,7000,31999,920000,Multitasking,28.75089847,4.3,17.27 cm (6.8 inch) Display,https://www.flipkart.com/realme-15-pro-5g-velvet-green-128-gb/p/itm216cdbf4baea0?pid=MOBHDVK22H9WFF8M&lid=LSTMOBHDVK22H9WFF8MEC29IM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_255&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHDVK22H9WFF8M.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/n/3/-original-imahezrzhdddaudb.jpeg?q=70,"7,182 Ratings",640 Reviews,50MP + 50MP | 50MP Front Camera
realme 15 Pro 5G,7 Gen 4,8,128,7000,31999,920000,Multitasking,28.75089847,4.3,17.27 cm (6.8 inch) Display,https://www.flipkart.com/realme-15-pro-5g-flowing-silver-128-gb/p/itm216cdbf4baea0?pid=MOBHDVK2NPXSMFZN&lid=LSTMOBHDVK2NPXSMFZN4GNLAC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_256&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHDVK2NPXSMFZN.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/4/n/-original-imahezrzhqnjdwjr.jpeg?q=70,"7,182 Ratings",640 Reviews,50MP + 50MP | 50MP Front Camera
realme P3 5G,6 Gen 4,8,128,6000,16999,730000,Value for Money,42.94370257,4.4,16.94 cm (6.67 inch) Full HD+ Display,https://www.flipkart.com/realme-p3-5g-nebula-pink-128-gb/p/itm69060f73d27e8?pid=MOBHAYN5NYBZZFNT&lid=LSTMOBHAYN5NYBZZFNTIYTKBE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_257&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHAYN5NYBZZFNT.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/b/x/-original-imahaff2rn28fy2z.jpeg?q=70,"21,689 Ratings","1,403 Reviews",50MP + 2MP | 16MP Front Camera
realme P3 Ultra 5G,Dimensity 8350 Ultra,12,256,6000,23999,960000,Performance,40.00166674,4.5,17.35 cm (6.83 inch) Display,https://www.flipkart.com/realme-p3-ultra-5g-glowing-lunar-white-256-gb/p/itm50171223b4a05?pid=MOBHAYKEGJYAUWC4&lid=LSTMOBHAYKEGJYAUWC4VPPANX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_258&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHAYKEGJYAUWC4.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/w/a/p3-ultra-5g-rmx5030-realme-original-imahadm5zgatgzs8.jpeg?q=70,"3,114 Ratings",300 Reviews,50MP + 8MP | 16MP Front Camera
MOTOROLA g35 5G,T760 Processor,8,128,5000,11999,620000,Value for Money,51.67097258,4.3,17.07 cm (6.72 inch) Full HD+ Display,https://www.flipkart.com/motorola-g35-5g-guava-red-128-gb/p/itm3cd0926197241?pid=MOBHFNAZEM2XQMWR&lid=LSTMOBHFNAZEM2XQMWRW8CFFX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_259&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHFNAZEM2XQMWR.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/8/n/-original-imahgjf9sdcnv2kb.jpeg?q=70,"2,648 Ratings",120 Reviews,50MP + 8MP | 16MP Front Camera
Motorola g45 5G,6s Gen 3,8,128,5000,11999,730000,Value for Money,60.8384032,4.3,16.51 cm (6.5 inch) HD+ Display,https://www.flipkart.com/motorola-g45-5g-viva-magenta-128-gb/p/itmab7651d40eb72?pid=MOBH3YKQMPVFBUB5&lid=LSTMOBH3YKQMPVFBUB5HBNW9E&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_260&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBH3YKQMPVFBUB5.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/3/6/-original-imah3xk8u8dgteq3.jpeg?q=70,"2,45,497 Ratings","12,195 Reviews",50MP + 2MP | 16MP Front Camera
realme P3 5G,6 Gen 4,8,256,6000,18499,740000,Value for Money,40.00216228,4.4,16.94 cm (6.67 inch) Full HD+ Display,https://www.flipkart.com/realme-p3-5g-space-silver-256-gb/p/itm69060f73d27e8?pid=MOBHAYN5GGGM6MVZ&lid=LSTMOBHAYN5GGGM6MVZQKSQU5&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_261&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHAYN5GGGM6MVZ.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/c/y/-original-imahaff2rbuykhcw.jpeg?q=70,"21,689 Ratings","1,403 Reviews",50MP + 2MP | 16MP Front Camera
OPPO F31 5G,Dimensity 6300,8,128,7000,23999,620000,Multitasking,25.83440977,4.3,16.69 cm (6.57 inch) Full HD+ Display,https://www.flipkart.com/oppo-f31-5g-cloud-green-128-gb/p/itme4999ba8be7f5?pid=MOBHFKPTY5YHJ2UV&lid=LSTMOBHFKPTY5YHJ2UVRGH4DN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_262&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHFKPTY5YHJ2UV.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/d/j/-original-imahgxe6dzdsgvcr.jpeg?q=70,976 Ratings,54 Reviews,50MP + 2MP | 16MP Front Camera
realme P3 Ultra 5G,Dimensity 8350 Ultra,8,256,6000,22999,930000,Value for Money,40.43654072,4.4,17.35 cm (6.83 inch) Display,https://www.flipkart.com/realme-p3-ultra-5g-glowing-lunar-white-256-gb/p/itm50171223b4a05?pid=MOBHAYKEYZQPMJM8&lid=LSTMOBHAYKEYZQPMJM8YKEI0U&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_263&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBHAYKEYZQPMJM8.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/w/a/p3-ultra-5g-rmx5030-realme-original-imahadm5zgatgzs8.jpeg?q=70,"16,814 Ratings","1,664 Reviews",50MP + 8MP | 16MP Front Camera
realme 14 Pro+ 5G,7s Gen 3 Mobile Platform Processor,12,256,6000,26999,960000,Performance,35.55687248,4.4,17.35 cm (6.83 inch) Display,https://www.flipkart.com/realme-14-pro-5g-pearl-white-256-gb/p/itmb5105a70ea6a6?pid=MOBH84ZX7NAXXFQQ&lid=LSTMOBH84ZX7NAXXFQQV10QBB&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_11_264&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=4486c81d-dc02-4c8b-9e84-781d1449ec8a.MOBH84ZX7NAXXFQQ.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/w/h/-original-imahewb2y9bryhzh.jpeg?q=70,"8,153 Ratings",896 Reviews,50MP + 50MP + 8MP | 32MP Front Camera
Samsung Galaxy S24 Ultra 5G,8 Gen 3,12,256,5000,88820,1250000,Performance,14.07340689,4.6,17.27 cm (6.8 inch) Quad HD+ Display,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-gray-256-gb/p/itm12ef5ea0212ed?pid=MOBGX2F3RQKKKTAW&lid=LSTMOBGX2F3RQKKKTAWZXXS6U&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_10_217&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=eb51fd1a-b601-4ec8-a5b8-c9afc4180f43.MOBGX2F3RQKKKTAW.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/m/z/-original-imahgfmxumntk7sy.jpeg?q=70,"7,164 Ratings",532 Reviews,200MP + 50MP + 12MP + 10MP | 12MP Front Camera
Samsung Galaxy A16 5G,Dimensity 6300,8,128,5000,16999,620000,Value for Money,36.47273369,4.2,17.02 cm (6.7 inch) Full HD+ Display,https://www.flipkart.com/samsung-galaxy-a16-5g-light-green-128-gb/p/itmeb3b07d3eff44?pid=MOBH5JJ4SFXCBTN7&lid=LSTMOBH5JJ4SFXCBTN7QYCLKN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_10_218&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=eb51fd1a-b601-4ec8-a5b8-c9afc4180f43.MOBH5JJ4SFXCBTN7.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/t/q/-original-imahcshuzpekeyap.jpeg?q=70,"3,769 Ratings",202 Reviews,50MP + 5MP + 2MP | 13MP Front Camera
OPPO F29 Pro 5G,Dimensity 7300,12,256,6000,22999,840000,Multitasking,36.5233271,4.4,17.02 cm (6.7 inch) Full HD+ Display,https://www.flipkart.com/oppo-f29-pro-5g-granite-black-256-gb/p/itm46a2f33a4c891?pid=MOBHAFRZV6FFG5SW&lid=LSTMOBHAFRZV6FFG5SWWMPYVB&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_10_219&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=eb51fd1a-b601-4ec8-a5b8-c9afc4180f43.MOBHAFRZV6FFG5SW.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/r/v/-original-imahafrewjndpf7b.jpeg?q=70,990 Ratings,46 Reviews,50MP + 2MP | 16MP Front Camera
realme 14 Pro+ 5G,7s Gen 3 Mobile Platform Processor,8,256,6000,25999,930000,Multitasking,35.77060656,4.4,17.35 cm (6.83 inch) Display,https://www.flipkart.com/realme-14-pro-5g-suede-grey-256-gb/p/itmb5105a70ea6a6?pid=MOBH84ZXNK3ABYSA&lid=LSTMOBH84ZXNK3ABYSAVYOROH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_10_220&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=eb51fd1a-b601-4ec8-a5b8-c9afc4180f43.MOBH84ZXNK3ABYSA.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/1/o/t/-original-imahewbae6vyfvxz.jpeg?q=70,"15,619 Ratings","1,870 Reviews",50MP + 50MP + 8MP | 32MP Front Camera
realme P3 Ultra 5G,Dimensity 8350 Ultra,8,128,6000,21999,920000,Value for Money,41.82008273,4.4,17.35 cm (6.83 inch) Display,https://www.flipkart.com/realme-p3-ultra-5g-neptune-blue-128-gb/p/itm50171223b4a05?pid=MOBHAYKEXWW5SW5B&lid=LSTMOBHAYKEXWW5SW5BD6JPGU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_10_221&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=eb51fd1a-b601-4ec8-a5b8-c9afc4180f43.MOBHAYKEXWW5SW5B.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/s/z/-original-imahadrumpq2wpeg.jpeg?q=70,"16,814 Ratings","1,664 Reviews",50MP + 8MP | 16MP Front Camera
