device,processor,ram,storage,battery,price,antutu_score,category,value_score,rating,height,website_url,image_url,upvotes,reviews,camera
Samsung Galaxy A16 5G,Dimensity 6300,8,128,5000,16999,620000,Value for Money,36.47273369,4.2,17.02 cm (6.7 inch) Full HD+ Display,https://www.flipkart.com/samsung-galaxy-a16-5g-gold-128-gb/p/itmeb3b07d3eff44?pid=MOBH5JJ4F3Z3PVMU&lid=LSTMOBH5JJ4F3Z3PVMUUC1FMT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_13_310&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=26a8311d-7449-4e7b-8ec2-e00a125e0b54.MOBH5JJ4F3Z3PVMU.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/x/t/-original-imahcshuffnqzj7z.jpeg?q=70,"3,769 Ratings",202 Reviews,50MP + 5MP + 2MP | 13MP Front Camera
Samsung Galaxy A16 5G,Dimensity 6300,6,128,5000,15499,600000,Value for Money,38.71217498,4.2,17.02 cm (6.7 inch) Full HD+ Display,https://www.flipkart.com/samsung-galaxy-a16-5g-gold-128-gb/p/itmeb17f7d0c6917?pid=MOBH5JJ4JSXZUA2M&lid=LSTMOBH5JJ4JSXZUA2MOGDCDG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_13_311&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=26a8311d-7449-4e7b-8ec2-e00a125e0b54.MOBH5JJ4JSXZUA2M.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/x/t/-original-imahcshuffnqzj7z.jpeg?q=70,"3,818 Ratings",168 Reviews,50MP + 5MP + 2MP | 13MP Front Camera
realme C73 5G,Dimensity 6300,4,64,6000,10400,600000,Value for Money,57.69230769,4.2,16.94 cm (6.67 inch) HD+ Display,https://www.flipkart.com/realme-c73-5g-onyx-black-64-gb/p/itm332661213d3ff?pid=MOBHC64GQC3CXV85&lid=LSTMOBHC64GQC3CXV85VKR4HY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_13_312&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=26a8311d-7449-4e7b-8ec2-e00a125e0b54.MOBHC64GQC3CXV85.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/p/u/-original-imahcsnfyuhmhyjg.jpeg?q=70,"1,346 Ratings",69 Reviews,32MP Rear Camera | 8MP Front Camera
Samsung M36 5G,1 Year Warranty,8,128,5000,24499,520000,Value for Money,21.22535614,4,17.02 cm (6.7 inch) Display,https://www.flipkart.com/samsung-m36-5g-velvet-black-black-128-gb/p/itm74130a5a313b6?pid=MOBHEYY2PZTXHNZQ&lid=LSTMOBHEYY2PZTXHNZQNNYOSN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_12_265&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=bc8248cd-dd23-479c-ac77-c0486e022d2c.MOBHEYY2PZTXHNZQ.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/l/2/m36-5g-sm-m366b-samsung-original-imaheyy2geey2sjf.jpeg?q=70,225 Ratings,9 Reviews,50MP Rear Camera
realme 14x 5G,Dimensity 6300,8,128,6000,17999,620000,Multitasking,34.44635813,4.4,16.94 cm (6.67 inch) HD+ Display,https://www.flipkart.com/realme-14x-5g-golden-glow-128-gb/p/itmb45ae2fd70ae9?pid=MOBH6YGYHPYHHJWK&lid=LSTMOBH6YGYHPYHHJWKWBZSBS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_12_266&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=bc8248cd-dd23-479c-ac77-c0486e022d2c.MOBH6YGYHPYHHJWK.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/z/t/-original-imah7hynztfzdgp9.jpeg?q=70,"8,014 Ratings",405 Reviews,50MP Rear Camera | 8MP Front Camera
realme P3 Ultra 5G,Dimensity 8350 Ultra,8,256,6000,33999,930000,Multitasking,27.3537457,4.4,17.35 cm (6.83 inch) Display,https://www.flipkart.com/realme-p3-ultra-5g-neptune-blue-256-gb/p/itm50171223b4a05?pid=MOBHAYKEBGFUXNQV&lid=LSTMOBHAYKEBGFUXNQVLAWPKP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_12_267&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=bc8248cd-dd23-479c-ac77-c0486e022d2c.MOBHAYKEBGFUXNQV.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/s/z/-original-imahadrumpq2wpeg.jpeg?q=70,"16,814 Ratings","1,664 Reviews",50MP + 8MP | 16MP Front Camera
realme P3 Ultra 5G,Dimensity 8350 Ultra,8,128,6000,31999,920000,Multitasking,28.75089847,4.4,17.35 cm (6.83 inch) Display,https://www.flipkart.com/realme-p3-ultra-5g-orion-red-128-gb/p/itm50171223b4a05?pid=MOBHAYKEZ94ZDEP4&lid=LSTMOBHAYKEZ94ZDEP4LHK4KR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_12_268&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=bc8248cd-dd23-479c-ac77-c0486e022d2c.MOBHAYKEZ94ZDEP4.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/3/1/-original-imahadrutq6xcsz3.jpeg?q=70,"16,814 Ratings","1,664 Reviews",50MP + 8MP | 16MP Front Camera
OPPO F31 Pro+ 5G,7 Gen 3 Mobile Platform,12,256,7000,39999,960000,Performance,24.00060002,4.3,17.27 cm (6.8 inch) Full HD+ Display,https://www.flipkart.com/oppo-f31-pro-5g-gemstone-blue-256-gb/p/itm6d64a8ecb31b8?pid=MOBHFKPUGTBVRXCW&lid=LSTMOBHFKPUGTBVRXCWLCNH6R&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_12_269&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=bc8248cd-dd23-479c-ac77-c0486e022d2c.MOBHFKPUGTBVRXCW.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/1/v/-original-imahgxe6upj2gbts.jpeg?q=70,191 Ratings,8 Reviews,50MP + 2MP | 32MP Front Camera
realme 15T 5G,MediaTek Dimensity 6400 MAX,8,256,7000,24999,740000,Multitasking,29.60118405,4.3,16.69 cm (6.57 inch) Full HD Display,https://www.flipkart.com/realme-15t-5g-flowing-silver-256-gb/p/itm3f28d98da183c?pid=MOBHF57JTHCDEZSF&lid=LSTMOBHF57JTHCDEZSFSBMJSS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_12_270&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=bc8248cd-dd23-479c-ac77-c0486e022d2c.MOBHF57JTHCDEZSF.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/l/s/-original-imahfkfyxwrz5z6x.jpeg?q=70,"4,549 Ratings",304 Reviews,50MP + 2MP | 50MP Front Camera
realme 14x 5G,Dimensity 6300,8,128,6000,17999,620000,Multitasking,34.44635813,4.4,16.94 cm (6.67 inch) HD+ Display,https://www.flipkart.com/realme-14x-5g-jewel-red-128-gb/p/itmb45ae2fd70ae9?pid=MOBH6YGYKTENTGZZ&lid=LSTMOBH6YGYKTENTGZZ1Y6MUP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_12_271&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=bc8248cd-dd23-479c-ac77-c0486e022d2c.MOBH6YGYKTENTGZZ.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/o/0/-original-imah7hynvzxzyzjz.jpeg?q=70,"8,014 Ratings",405 Reviews,50MP Rear Camera | 8MP Front Camera
realme 14x 5G,Dimensity 6300,8,128,6000,17999,620000,Multitasking,34.44635813,4.4,16.94 cm (6.67 inch) HD+ Display,https://www.flipkart.com/realme-14x-5g-crystal-black-128-gb/p/itmb45ae2fd70ae9?pid=MOBH6YGYVJH2M9FQ&lid=LSTMOBH6YGYVJH2M9FQM5D92S&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_12_272&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=bc8248cd-dd23-479c-ac77-c0486e022d2c.MOBH6YGYVJH2M9FQ.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/q/c/-original-imah7hyn4rxguugv.jpeg?q=70,"8,014 Ratings",405 Reviews,50MP Rear Camera | 8MP Front Camera
OPPO A5x 5G,Dimensity 6300,4,64,6000,14999,600000,Value for Money,40.00266684,4.3,16.94 cm (6.67 inch) Display,https://www.flipkart.com/oppo-a5x-5g-laser-white-64-gb/p/itm3835ee81e6b24?pid=MOBHEAVDVZW4NKQN&lid=LSTMOBHEAVDVZW4NKQN6FU0GI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_12_273&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=bc8248cd-dd23-479c-ac77-c0486e022d2c.MOBHEAVDVZW4NKQN.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/h/5/-original-imahchfjhrsma3bz.jpeg?q=70,352 Ratings,8 Reviews,32MP Rear Camera
OPPO F31 Pro+ 5G,7 Gen 3 Mobile Platform,12,256,7000,39999,960000,Performance,24.00060002,4.3,17.27 cm (6.8 inch) Full HD+ Display,https://www.flipkart.com/oppo-f31-pro-5g-himalayan-white-256-gb/p/itm6d64a8ecb31b8?pid=MOBHFKPUGFV5JRZ4&lid=LSTMOBHFKPUGFV5JRZ4IDVYJI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_12_274&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=bc8248cd-dd23-479c-ac77-c0486e022d2c.MOBHFKPUGFV5JRZ4.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/p/y/-original-imahgxe6egcqhwzr.jpeg?q=70,191 Ratings,8 Reviews,50MP + 2MP | 32MP Front Camera
realme Gt 7,Dimensity,8,256,7000,45999,530000,Multitasking,11.52198961,4.5,17.22 cm (6.78 inch) Full HD+ AMOLED Display,https://www.flipkart.com/realme-gt-7-icesense-black-256-gb/p/itm6cc8f84d92e2f?pid=MOBHCZYNY6PCGGHS&lid=LSTMOBHCZYNY6PCGGHSZTH3KC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_12_275&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=bc8248cd-dd23-479c-ac77-c0486e022d2c.MOBHCZYNY6PCGGHS.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/n/x/gt-7-rmx5061-realme-original-imahczynyhrspysr.jpeg?q=70,216 Ratings,18 Reviews,50MP + 50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera
realme 15T 5G,MediaTek Dimensity 6400 MAX,8,128,7000,22999,730000,Multitasking,31.74051046,4.3,16.69 cm (6.57 inch) Full HD Display,https://www.flipkart.com/realme-15t-5g-silk-blue-128-gb/p/itm3f28d98da183c?pid=MOBHF57JNY6Y2WUJ&lid=LSTMOBHF57JNY6Y2WUJKNQOMZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_12_276&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=bc8248cd-dd23-479c-ac77-c0486e022d2c.MOBHF57JNY6Y2WUJ.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/6/5/-original-imahfkfyshxg28wu.jpeg?q=70,"4,549 Ratings",304 Reviews,50MP + 2MP | 50MP Front Camera
realme 14x 5G,Dimensity 6300,6,128,6000,16999,600000,Value for Money,35.29619389,4.3,16.94 cm (6.67 inch) HD+ Display,https://www.flipkart.com/realme-14x-5g-crystal-black-128-gb/p/itmb45ae2fd70ae9?pid=MOBH6YGY3S7ZQHHF&lid=LSTMOBH6YGY3S7ZQHHFGNLQAI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_12_277&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=bc8248cd-dd23-479c-ac77-c0486e022d2c.MOBH6YGY3S7ZQHHF.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/q/c/-original-imah7hyn4rxguugv.jpeg?q=70,"13,440 Ratings",665 Reviews,50MP Rear Camera | 8MP Front Camera
